id,short_code,name,short_title,subtitle,simple_description,description,narrative,category,source,is_active,notes,operation_version_id,created_by,updated_by,created_at,updated_at
1,comm_delivery_HHS,Prioritize deliveries for minimum human health and safety,Prioritize human health and safety needs,,,,"Priority deliveries to communities to satisfy human health and safety drinking water needs, defined by the Water Board as 55 gallons per person per day",comm_delivery,james_gilbert,1,,1,2,2,2024-01-01 00:00:00,2024-01-01 00:00:00
2,comm_delivery_functional,Prioritize deliveries for functional community needs,Prioritize functional community water needs,,,,Priority deliveries to communities to satisfy functional water needs,comm_delivery,james_gilbert,1,,1,2,2,2024-01-01 00:00:00,2024-01-01 00:00:00
3,comm_delivery_full,Prioritize full community water demands,Prioritize full community water needs,,,,Priority deliveries to communities to satisfy full community water demands,comm_delivery,james_gilbert,1,,1,2,2,2024-01-01 00:00:00,2024-01-01 00:00:00
4,delta_outflow_35,Modified Delta outflow requirements at 35% of unimpaired flow,Reduce delta outflows (35% unimpaired flows),,,,35% of unimpaired flow,delta_outflow,james_gilbert,1,,1,2,2,2024-01-01 00:00:00,2024-01-01 00:00:00
5,delta_outflow_45,Current Baseline Delta outflow requirements,Maintain Delta outflows (45% of unimpaired flows),,,,Current Delta outflow requirement,delta_outflow,james_gilbert,1,,1,2,2,2024-01-01 00:00:00,2024-01-01 00:00:00
6,delta_outflow_55,Modified Delta outflow requirements at 55% of unimpaired flow,Increase Delta outflows (55% of unimpaired flows),,,,55% of unimpaired flow,delta_outflow,james_gilbert,1,,1,2,2,2024-01-01 00:00:00,2024-01-01 00:00:00
7,delta_outflow_65,Modified Delta outflow requirements at 65% of unimpaired flow,Increase Delta outflows (65% of unimpaired flows) — Alt3,,,,65% of unimpaired flow,delta_outflow,james_gilbert,1,,1,2,2,2024-01-01 00:00:00,2024-01-01 00:00:00
8,increase_Shasta_co,Increased Shasta Reservoir carryover requirements,Increase Shasta carryover,,,Increase end-of-water year carry over targets for Shasta reservoir,carryover,james_gilbert,1,,1,2,2,2024-01-01 00:00:00,2024-01-01 00:00:00
9,delta_salinity_standards,Relaxed Delta salinity standards,Relax Fall X2,,,Relax Fall X2 Delta salinity standard,regulatory_salinity,james_gilbert,1,,1,2,2,2024-01-01 00:00:00,2024-01-01 00:00:00
10,TUCP_TUCO,Temporary Urgency Change Petitions and Temporary Urgency Change Orders,TUCPs active,,,Temporary Urgency Change Petitions (TUCP) and Orders (TUCO) active for the scenario,,tucp,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
11,SGMA_SJV,San Joaquin Valley SGMA groundwater pumping limits,SJV SGMA,,,SGMA-type groundwater pumping limits applied to San Joaquin Valley region,,gw_restrictions,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
12,SGMA_SAC,Sacramento Valley SGMA-type groundwater pumping limits,SAC SGMA,,,SGMA-type groundwater pumping limits applied to Sacramento Valley region,,gw_restrictions,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
13,SGMA_CV,Central Valley-wide SGMA-type groundwater pumping limits,CV-wide SGMA,,,SGMA-type groundwater pumping limits applied across entire Central Valley,,gw_restrictions,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
14,DCP_6000,Delta Conveyance Project transporting at 6000 CFS,DCP 6000 CFS,,,Delta Conveyance Project (The Tunnel) operating at 6000 CFS capacity,,infrastructure,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
15,DCP_Bethany,Delta Conveyance Project with Bethany Reservoir alignment,DCP Bethany,,,Delta Conveyance Project (The Tunnel) with the proposed Bethany Reservoir alignment,,infrastructure,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
16,no_min_flow,Minimum flow requirements removed,No flow requirements,,,Existing minimum flow requirements on Central Valley tributaries removed,,flow,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
17,functional_flows,Functional flow requirements,Functional flows,,,Functional flow requirements at 17 tributary locations plus Delta outflow,,flow,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
18,salmon_flows,Salmon-friendly flow requirements,Salmon flows,,,Modified functional flows adjusted for Winter-run Chinook salmon with Shasta storage protection,,flow,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
19,biops_2024,2024 USBR Biological Opinions (LTO Alt2V1),2024 USBR BiOps,,,2024 USBR Long-Term Operations proposed action biological opinions,,biops,james_gilbert,1,,1,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
